dgp,N,method,target,target_group,true_value_mean,mean_estimate,bias,rmse,mc_sd,mean_se,coverage,mean_interval_length,point_retained,inference_retained,attempted,extreme_finite_estimate_count
2,100,fixed_rank,B_G1_fixed_time,local_plugin,0.6024716473925446,0.5537271543431156,-0.048744493049428995,0.09573327458041009,0.36392111225916823,0.1209181111383738,1.0,0.47399028581964836,3,3,3,0
2,100,fixed_rank,B_G1_time_average,broad,0.6249021825529867,0.6028704243908278,-0.022031758162158816,0.028087471227268106,0.05919593464605061,0.02745138457407652,1.0,0.10760745018189681,3,3,3,0
2,100,fixed_rank,B_G2_fixed_time,local_plugin,0.6282793629690003,0.6203409845774314,-0.007938378391569042,0.09131688124979712,0.4296859568957258,0.1300255985387214,1.0,0.5096909804083157,3,3,3,0
2,100,fixed_rank,B_G2_minus_G1_fixed_time,local_plugin,0.02580771557645585,0.0666138302343159,0.040806114657860056,0.04243978532970101,0.07094793889584174,0.029141631352542968,0.6666666666666666,0.11423309580345496,3,3,3,0
2,100,fixed_rank,B_G2_minus_G1_time_average,broad,0.008545177399708974,0.06446067617108239,0.05591549877137342,0.06308922319302294,0.022491189086771272,0.03862634508386548,0.6666666666666666,0.15141249043758423,3,3,3,0
2,100,fixed_rank,B_G2_time_average,broad,0.6334473599526957,0.6673311005619101,0.03388374060921447,0.03597618417696902,0.07742354443111718,0.028457689714813137,1.0,0.11155209384849936,3,3,3,0
2,100,fixed_rank,B_entry,local_plugin,0.7372310134677479,0.7473914550776749,0.010160441609926999,0.09716871876650728,0.5284566934925999,0.2425501350293645,1.0,0.9507790582057627,3,3,3,0
2,100,fixed_rank,B_fixed_time_mean,local_plugin,0.6153755051807724,0.5870340694602735,-0.028341435720498975,0.09111274601739924,0.39658025195700414,0.1244295375912133,1.0,0.4877548245835017,3,3,3,0
2,100,fixed_rank,B_full_mean,broad,0.6291747712528412,0.6351007624763689,0.0059259912235278085,0.006821540380598927,0.06799131237749503,0.020248263479329693,1.0,0.07937173433792777,3,3,3,0
2,100,selected_rank,A_G1_fixed_time,local_plugin,0.5837939615252409,0.6130792511157749,0.02928528959053404,0.07486819107742007,0.07065801483128752,0.05808623168446006,0.6666666666666666,0.22769384419838215,3,3,3,0
2,100,selected_rank,A_G1_time_average,broad,0.5108479586982547,0.5627088099541244,0.0518608512558697,0.06837825036294856,0.04294618457183725,0.012746659955300214,0.3333333333333333,0.049965988871134716,3,3,3,0
2,100,selected_rank,A_G2_fixed_time,local_plugin,0.5892551164947785,0.6184316441507036,0.029176527655925173,0.07451294482315886,0.07147277243349615,0.05839278836093951,0.6666666666666666,0.22889552428862223,3,3,3,0
2,100,selected_rank,A_G2_minus_G1_fixed_time,local_plugin,0.00546115496953764,0.005352393034928726,-0.00010876193460891345,0.003210899245126841,0.005841401488082315,0.014740699529702334,1.0,0.05778248037028618,3,3,3,0
2,100,selected_rank,A_G2_minus_G1_time_average,broad,0.004607876250775828,0.004362069728118037,-0.0002458065226577921,0.0075061846030307754,0.01234811334489715,0.015648276128997995,1.0,0.06134011526594785,3,3,3,0
2,100,selected_rank,A_G2_time_average,broad,0.5154558349490305,0.5670708796822427,0.05161504473321236,0.0647438993108037,0.03543139558708892,0.012341589798857666,0.3333333333333333,0.04837814303545591,3,3,3,0
2,100,selected_rank,A_entry,local_plugin,0.5753598252734925,0.6016389483534746,0.026279123079981998,0.13742619806162754,0.11576317538600113,0.0909046233404391,0.6666666666666666,0.35633957555087964,3,3,3,0
2,100,selected_rank,A_fixed_time_mean,local_plugin,0.5865245390100097,0.6157554476332392,0.02923090862322956,0.07467352289949566,0.07100651826965002,0.05776756560731509,0.6666666666666666,0.22644469612978455,3,3,3,0
2,100,selected_rank,A_full_mean,broad,0.5131518968236425,0.5648898448181835,0.05173794799454109,0.06648002037085367,0.03888136192919403,0.009793919230244587,0.3333333333333333,0.03839145791754728,3,3,3,0
2,100,selected_rank,B_G1_fixed_time,local_plugin,0.6024716473925446,0.28809562442981634,-0.3143760229627282,0.37227467736319275,0.4989962589507234,0.09987084504663277,1.0,0.39148651879396135,3,1,3,0
2,100,selected_rank,B_G1_time_average,broad,0.6249021825529867,0.22345711750820194,-0.4014450650447847,0.4924475412999442,0.38703908083709465,0.02720795551870702,1.0,0.10665322581926713,3,1,3,0
2,100,selected_rank,B_G2_fixed_time,local_plugin,0.6282793629690003,0.3363864229477995,-0.29189294002120086,0.36435713755765164,0.582638375521942,0.1177325616599382,1.0,0.4615031613222402,3,1,3,0
2,100,selected_rank,B_G2_minus_G1_fixed_time,local_plugin,0.02580771557645585,0.04829079851798309,0.022483082941527236,0.029661169940115487,0.08364211657121855,0.044044444275698154,1.0,0.17265104899889946,3,1,3,0
2,100,selected_rank,B_G2_minus_G1_time_average,broad,0.008545177399708974,0.027908399970474843,0.01936322257076587,0.025584642250777088,0.04833876670681619,0.037645554925334106,1.0,0.14756786366335858,3,1,3,0
2,100,selected_rank,B_G2_time_average,broad,0.6334473599526957,0.2513655174786768,-0.3820818424740189,0.47572915112586084,0.435377847543911,0.02712070041572629,1.0,0.106311192100648,3,1,3,0
2,100,selected_rank,B_entry,local_plugin,0.7372310134677479,0.4415154978330697,-0.29571551563467824,0.3868240488049968,0.7647272745759432,0.24825346715324034,1.0,0.9731357093150967,3,1,3,0
2,100,selected_rank,B_fixed_time_mean,local_plugin,0.6153755051807724,0.3122410236888079,-0.3031344814919646,0.36803849431409114,0.5408173172363328,0.1069233024932853,1.0,0.41913164398984193,3,1,3,0
2,100,selected_rank,B_full_mean,broad,0.6291747712528412,0.23741131749343944,-0.3917634537594017,0.48399148711715084,0.4112084641905029,0.019585853704164453,1.0,0.07677513573326547,3,1,3,0
3,50,fixed_rank,A_G1_fixed_time,local_plugin,0.4487463411671246,0.3248482894222922,-0.12389805174483239,0.12741095535918415,0.12112233020989922,0.11373490868060408,0.6666666666666666,0.4458326495978719,3,3,3,0
3,50,fixed_rank,A_G1_time_average,broad,0.49317816824674504,0.46567584615514485,-0.027502322091600157,0.034561071285814614,0.01639864379550841,0.03551656310640316,1.0,0.1392223690863884,3,3,3,0
3,50,fixed_rank,A_G2_fixed_time,local_plugin,0.45736940958983174,0.3313185027095978,-0.12605090688023388,0.13560858414982277,0.134788686506765,0.11501303174033173,0.6666666666666666,0.45084279992762455,3,3,3,0
