DGP,semantic_replication_id,method,split_type,split_index,effective_N,effective_T,coefficient_envelope,full_coefficient_envelope,stationarity_residual,full_stationarity_residual,sigma_r_over_sigma_1,full_sigma_r_over_sigma_1,objective_stability_gap,full_objective_stability_gap,runtime_seconds,full_runtime_seconds,primary_numerical_cause
2,dgp2_N50_T50_r00004_truth1-1-1,selected_rank,time,0,50,25,11.461100756245852,7.656132651797398,4.5799218527809244e-05,2.694080174200732e-05,1.0,1.0,,8.471497082476235e-06,0.07272310002008453,0.044422199978725985,coefficient_bound_hit
2,dgp2_N50_T50_r00004_truth1-1-1,selected_rank,time,1,50,25,7.645663845321272,7.656132651797398,3.2928683874845574e-05,2.694080174200732e-05,1.0,1.0,,8.471497082476235e-06,0.04503609999665059,0.044422199978725985,valid
2,dgp2_N50_T50_r00004_truth1-1-1,selected_rank,unit,0,26,50,12.065279359190118,7.656132651797398,5.4743093624555124e-05,2.694080174200732e-05,1.0,1.0,,8.471497082476235e-06,0.060626399994362146,0.044422199978725985,coefficient_bound_hit
2,dgp2_N50_T50_r00004_truth1-1-1,selected_rank,unit,1,24,50,6.682356018892947,7.656132651797398,3.902739257006449e-05,2.694080174200732e-05,1.0,1.0,,8.471497082476235e-06,0.050375499995425344,0.044422199978725985,valid
3,dgp3_N50_T50_r00003_truth1-1-1,selected_rank,time,0,50,25,8.63351329366609,8.192982004237207,3.703532659447917e-05,1.9025616467397595e-05,1.0,1.0,,5.4791814752161796e-06,0.04517220001434907,0.011739300010958686,valid
3,dgp3_N50_T50_r00003_truth1-1-1,selected_rank,time,1,50,25,9.128836536447116,8.192982004237207,4.801947284105424e-05,1.9025616467397595e-05,1.0,1.0,,5.4791814752161796e-06,0.1077649999933783,0.011739300010958686,coefficient_bound_hit
3,dgp3_N50_T50_r00003_truth1-1-1,selected_rank,unit,0,26,50,10.12125503321765,8.192982004237207,4.165711433061352e-05,1.9025616467397595e-05,1.0,1.0,,5.4791814752161796e-06,0.11508379998849705,0.011739300010958686,coefficient_bound_hit
3,dgp3_N50_T50_r00003_truth1-1-1,selected_rank,unit,1,24,50,9.053463928343605,8.192982004237207,3.826949604722723e-05,1.9025616467397595e-05,1.0,1.0,,5.4791814752161796e-06,0.06959150001057424,0.011739300010958686,coefficient_bound_hit
3,dgp3_N50_T50_r00005_truth1-1-1,selected_rank,time,0,50,25,11.690625935951996,8.695442698469321,5.804374301351953e-05,3.174016109851763e-05,1.0,1.0,,4.917754539679977e-06,0.13766589999431744,0.06014919999870472,coefficient_bound_hit
3,dgp3_N50_T50_r00005_truth1-1-1,selected_rank,time,1,50,25,9.35340585633722,8.695442698469321,7.573728980604033e-05,3.174016109851763e-05,1.0,1.0,,4.917754539679977e-06,0.08183029998326674,0.06014919999870472,coefficient_bound_hit
3,dgp3_N50_T50_r00005_truth1-1-1,selected_rank,unit,0,26,50,11.915941270194939,8.695442698469321,5.285748143653212e-05,3.174016109851763e-05,1.0,1.0,,4.917754539679977e-06,0.10719059998518787,0.06014919999870472,coefficient_bound_hit
