dgp,N,method,target,attempted,target_support_rate,gram_min_eigenvalue_min,gram_max_eigenvalue_max,condition_number_max,riesz_residual_max,riesz_convergence_rate,target_rayleigh_min,invalid_variance_count,nonfinite_SE_count
2,100,fixed_rank,A_G2_fixed_time,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.37150398158355e-09,1.0,0.9774588614819619,0,0
2,100,fixed_rank,A_G2_minus_G1_time_average,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.257820907848778e-09,1.0,3.4212806856304643,0,0
2,100,fixed_rank,A_G2_time_average,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.46910746016696e-09,1.0,1.0400093560244175,0,0
2,100,fixed_rank,A_entry,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.592597428002659e-09,1.0,1.6149837873389545,0,0
2,100,fixed_rank,A_fixed_time_mean,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.55117227259011e-09,1.0,0.9766773364476437,0,0
2,100,fixed_rank,A_full_mean,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.845896416582605e-09,1.0,0.7747580706705143,0,0
2,100,fixed_rank,B_G1_fixed_time,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.844390557391729e-09,1.0,0.8743906687111357,0,0
2,100,fixed_rank,B_G1_time_average,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,8.499806271739804e-09,1.0,0.814955218054179,0,0
2,100,fixed_rank,B_G2_fixed_time,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.919190847440321e-09,1.0,0.8673110855270284,0,0
2,100,fixed_rank,B_G2_minus_G1_time_average,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.020440939191201e-09,1.0,0.8661782191134627,0,0
2,100,fixed_rank,B_G2_time_average,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.229997762755658e-09,1.0,0.8206809483058081,0,0
2,100,fixed_rank,B_entry,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,8.918052872954689e-09,1.0,0.8046189210791475,0,0
2,100,fixed_rank,B_fixed_time_mean,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.901183473655645e-09,1.0,0.8696621185606667,0,0
2,100,fixed_rank,B_full_mean,3,1.0,0.16477592353858805,43.43806224576771,233.39843892883866,9.323252320387236e-09,1.0,0.8077534320237414,0,0
2,100,selected_rank,A_G1_fixed_time,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,A_G1_time_average,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,A_G2_fixed_time,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,A_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,A_G2_time_average,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,A_entry,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,A_fixed_time_mean,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,A_full_mean,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,B_G1_fixed_time,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,B_G1_time_average,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,B_G2_fixed_time,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,B_G2_minus_G1_time_average,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,B_G2_time_average,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,B_entry,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,B_fixed_time_mean,3,0.0,,,,,0.0,,3,3
2,100,selected_rank,B_full_mean,3,0.0,,,,,0.0,,3,3
3,50,fixed_rank,A_G1_fixed_time,1,1.0,0.2548296532112522,40.07740224831833,157.27134477200894,8.592486247778054e-09,1.0,1.585446623356438,0,0
