semantic_replication_id,dgp_realization_hash,dgp,N,T,replication,rank_vector,numerical_objective,Q_hat,log_Q_hat,d_r,kappa_NT,penalty_contribution,final_IC,ic_identity_error,valid,selected_rank,true_rank,sources,converged,stationarity_residual,max_envelope_ratio,objective_stability_pass,third_start_used
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[0, 3, 3]",1.8596693856512232,3.7193387713024464,1.3135459028358338,1182,2833483.8838854465,334917.79507525975,334919.1086211626,0.0,True,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 3, 3)""]",True,9.80346401609026e-05,1.0000000000000002,True,False
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[2, 2, 2]",1.4636163827853326,2.927232765570665,1.0740575281456826,1188,2833483.8838854465,336617.88540559105,336618.9594631192,0.0,True,False,False,"[""baseline_local_completion"", ""rank_cap_pilot""]",True,5.995685331472937e-05,0.9999999999999998,True,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 2, 2]",1.5376033030044627,3.0752066060089254,1.123372087947397,991,2833483.8838854465,280798.25289304776,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 2)"", ""neighbor_of_(1, 2, 3)"", ""neighbor_of_(2, 2, 2)""]",True,7.545405608770622e-05,1.0,False,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 2, 3]",1.4689675261904052,2.9379350523808103,1.0777069714422682,1186,2833483.8838854465,336051.18862881395,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 3)"", ""neighbor_of_(1, 3, 3)"", ""nuclear_path_15"", ""nuclear_path_16"", ""nuclear_path_17"", ""nuclear_path_18"", ""nuclear_path_19""]",True,4.0501411839153336e-07,0.6914098240893252,False,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 3, 2]",1.468893901906821,2.937787803813642,1.0776568504373116,1186,2833483.8838854465,336051.18862881395,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 3, 3)""]",True,7.605509826816687e-05,1.0000000000000002,False,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[1, 3, 3]",1.3980564399990392,2.7961128799980783,1.0282301955158937,1381,2833483.8838854465,391304.12436458014,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 2, 3)"", ""nuclear_path_20"", ""nuclear_path_21""]",True,3.9224229368094173e-07,0.7297206582944729,False,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[2, 0, 0]",2.517167344499214,5.034334688998428,1.6162813801999947,396,2833483.8838854465,112205.96180186367,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 0, 0)""]",True,1.5134307086080693e-06,0.2141533003554402,False,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[2, 1, 1]",1.616540738807836,3.233081477615672,1.1734357002864435,794,2833483.8838854465,224978.62038050446,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 1)""]",True,1.0319912778919569e-06,0.6734265485937023,False,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[2, 1, 2]",1.5410094140111399,3.0820188280222798,1.1255848459066098,991,2833483.8838854465,280798.25289304776,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 2)"", ""neighbor_of_(2, 2, 2)""]",True,7.113806901740855e-07,0.734725963160008,False,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[2, 1, 3]",1.471554868385522,2.943109736771044,1.0794667559401554,1186,2833483.8838854465,336051.18862881395,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 1, 3)""]",True,6.328302522750845e-07,0.7816487303343097,False,True
dgp1_N100_T100_r2026080902_truth1-1-1,65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a,1,100,100,2026080902,"[2, 2, 3]",1.3938859080144594,2.787771816028919,1.0252426445089469,1383,2833483.8838854465,391870.82114135724,inf,,False,False,False,"[""baseline_local_completion"", ""neighbor_of_(1, 2, 3)"", ""neighbor_of_(2, 2, 2)""]",True,7.35880221747939e-07,0.9905192147393596,False,True
