dgp,N,method,target,true_value_mean,mean_estimate,bias,RMSE,MC_SD,mean_SE,coverage,mean_interval_length,point_retained,inference_retained,attempted
2,100,fixed_rank,B_G2_time_average,0.6286487212732332,0.635208387282791,0.0065596660095578185,0.04695314749422323,0.049783104341772105,0.028880924224837613,0.6666666666666666,0.11321114264182419,3,3,3
2,100,fixed_rank,B_entry,0.326607404504252,0.1943889931526853,-0.13221841135156667,0.17801190378011073,0.04116489620025489,0.18879720471553008,1.0,0.7400714432485492,3,3,3
2,100,fixed_rank,B_fixed_time_mean,0.5699317841458821,0.5403407078995685,-0.029591076246313613,0.19072199316137076,0.34997741515909614,0.14051190836242156,1.0,0.5507965595786773,3,3,3
2,100,fixed_rank,B_full_mean,0.6176094762187274,0.6166493849776047,-0.0009600912411226922,0.01425359343560034,0.03092138799856929,0.020766102833,1.0,0.08140162730387038,3,3,3
2,100,selected_rank,A_G1_fixed_time,0.49831137924336494,0.0,-0.49831137924336494,0.4989450789500872,0.0,,,,3,0,3
2,100,selected_rank,A_G1_time_average,0.5070187090919394,0.0,-0.5070187090919394,0.5081111947171136,0.0,,,,3,0,3
2,100,selected_rank,A_G2_fixed_time,0.49213922374967495,0.0,-0.49213922374967495,0.49229126709768867,0.0,,,,3,0,3
2,100,selected_rank,A_G2_minus_G1_fixed_time,-0.006172155493689991,0.0,0.006172155493689991,0.01662907671154488,0.0,,,,3,0,3
2,100,selected_rank,A_G2_minus_G1_time_average,-0.006070164976043682,0.0,0.006070164976043682,0.01710735609914639,0.0,,,,3,0,3
2,100,selected_rank,A_G2_time_average,0.5009485441158957,0.0,-0.5009485441158957,0.5017561508716482,0.0,,,,3,0,3
2,100,selected_rank,A_entry,0.4909752904297518,0.0,-0.4909752904297518,0.49740338327724426,0.0,,,,3,0,3
2,100,selected_rank,A_fixed_time_mean,0.49522530149651994,0.0,-0.49522530149651994,0.49555959297193375,0.0,,,,3,0,3
2,100,selected_rank,A_full_mean,0.5039836266039174,0.0,-0.5039836266039174,0.5048712164097063,0.0,,,,3,0,3
2,100,selected_rank,B_G1_fixed_time,0.5538997353830438,0.0,-0.5538997353830438,0.5607088381282642,0.0,,,,3,0,3
2,100,selected_rank,B_G1_time_average,0.6065702311642214,0.0,-0.6065702311642214,0.6078965556565864,0.0,,,,3,0,3
2,100,selected_rank,B_G2_fixed_time,0.5859638329087206,0.0,-0.5859638329087206,0.6042107912226555,0.0,,,,3,0,3
2,100,selected_rank,B_G2_minus_G1_fixed_time,0.032064097525676676,0.0,-0.032064097525676676,0.06998769541429803,0.0,,,,3,0,3
2,100,selected_rank,B_G2_minus_G1_time_average,0.02207849010901186,0.0,-0.02207849010901186,0.07380386963905414,0.0,,,,3,0,3
2,100,selected_rank,B_G2_time_average,0.6286487212732332,0.0,-0.6286487212732332,0.6312799427448007,0.0,,,,3,0,3
2,100,selected_rank,B_entry,0.326607404504252,0.0,-0.326607404504252,0.34758109647682706,0.0,,,,3,0,3
2,100,selected_rank,B_fixed_time_mean,0.5699317841458821,0.0,-0.5699317841458821,0.5818143787456413,0.0,,,,3,0,3
2,100,selected_rank,B_full_mean,0.6176094762187274,0.0,-0.6176094762187274,0.6185988534196338,0.0,,,,3,0,3
3,50,fixed_rank,A_G1_fixed_time,0.5863369076601213,0.6588110194394939,0.07247411177937269,0.07247411177937269,,0.1720012773096324,1.0,0.6742326176435318,1,1,3
3,50,fixed_rank,A_G1_time_average,0.49049690670938156,0.517889590400801,0.027392683691419395,0.027392683691419395,,,,,1,0,3
