semantic_replication_id,dgp,N,T,replication,true_rank_vector,total_starts,individually_valid_starts,interior_path_successes,constrained_path_successes,stationarity_or_kkt_failures,boundary_active_starts,objective_spread_all_starts,best_valid_pair_normalized_gap,objective_stability_pass,pilot_accepted,primary_status
dgp3_N200_T200_r00000_truth1-1-1,3,200,200,0,"(1,1,1)",3,0,0,0,3,0,0.0008990944934070821,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T200_r00001_truth1-1-1,3,200,200,1,"(1,1,1)",3,0,0,0,3,0,0.004374412796599447,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T200_r00002_truth1-1-1,3,200,200,2,"(1,1,1)",3,0,0,0,3,0,0.00529963455002691,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T200_r00000_truth2-1-1,3,200,200,0,"(2,1,1)",3,1,1,0,2,0,0.0005063316192672196,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T200_r00001_truth2-1-1,3,200,200,1,"(2,1,1)",3,0,0,0,3,0,9.921380470567787e-05,,False,False,rank_selection_numerically_unresolved
dgp3_N200_T200_r00002_truth2-1-1,3,200,200,2,"(2,1,1)",3,1,1,0,2,0,0.00021704365031044448,,False,False,rank_selection_numerically_unresolved
dgp4_N50_T50_r00000_truth1-0-2,4,50,50,0,"(1,0,2)",3,0,0,0,3,3,0.009304393397355767,,False,False,rank_selection_numerically_unresolved
dgp4_N50_T50_r00001_truth1-0-2,4,50,50,1,"(1,0,2)",3,0,0,0,3,2,0.0012576299027083904,,False,False,rank_selection_numerically_unresolved
dgp4_N50_T50_r00002_truth1-0-2,4,50,50,2,"(1,0,2)",3,0,0,0,3,2,0.0058832110590262,,False,False,rank_selection_numerically_unresolved
dgp4_N50_T50_r00000_truth1-1-1,4,50,50,0,"(1,1,1)",3,0,0,0,3,3,0.03330425474283327,,False,False,rank_selection_numerically_unresolved
dgp4_N50_T50_r00001_truth1-1-1,4,50,50,1,"(1,1,1)",3,0,0,0,3,3,0.009545602011023169,,False,False,rank_selection_numerically_unresolved
dgp4_N50_T50_r00002_truth1-1-1,4,50,50,2,"(1,1,1)",3,0,0,0,3,3,0.018494407930018886,,False,False,rank_selection_numerically_unresolved
dgp4_N50_T50_r00000_truth2-1-1,4,50,50,0,"(2,1,1)",3,0,0,0,3,3,0.009189781084540397,,False,False,rank_selection_numerically_unresolved
dgp4_N50_T50_r00001_truth2-1-1,4,50,50,1,"(2,1,1)",3,0,0,0,3,0,0.0004806501705934968,,False,False,rank_selection_numerically_unresolved
dgp4_N50_T50_r00002_truth2-1-1,4,50,50,2,"(2,1,1)",3,0,0,0,3,2,0.003697046205654933,,False,False,rank_selection_numerically_unresolved
dgp4_N100_T100_r00000_truth1-0-2,4,100,100,0,"(1,0,2)",3,0,0,0,3,1,0.0022828036594876866,,False,False,rank_selection_numerically_unresolved
