dgp,N,T,replication,target,record_type,true_rank_vector,status,failure_detail,config_hash,git_commit,replication_failure_status,any_near_singularity
1,50,50,16,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,16,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,16,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,16,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,16,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,16,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,16,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,16,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,16,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,16,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,16,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,16,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,17,A_entry,,,missing_target_record,,,,,False
1,50,50,17,B_entry,,,missing_target_record,,,,,False
1,50,50,17,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,17,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,17,A_full_mean,,,missing_target_record,,,,,False
1,50,50,17,B_full_mean,,,missing_target_record,,,,,False
1,50,50,17,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,17,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,17,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,17,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,17,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,17,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,17,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,17,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,17,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,17,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,17,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,17,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,18,A_entry,,,missing_target_record,,,,,False
1,50,50,18,B_entry,,,missing_target_record,,,,,False
1,50,50,18,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,18,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,18,A_full_mean,,,missing_target_record,,,,,False
1,50,50,18,B_full_mean,,,missing_target_record,,,,,False
1,50,50,18,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,18,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,18,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,18,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,18,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,18,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,18,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,18,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,18,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,18,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,18,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,18,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,19,A_entry,,,missing_target_record,,,,,False
1,50,50,19,B_entry,,,missing_target_record,,,,,False
1,50,50,19,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,19,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,19,A_full_mean,,,missing_target_record,,,,,False
1,50,50,19,B_full_mean,,,missing_target_record,,,,,False
1,50,50,19,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,19,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,19,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,19,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,19,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,19,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,19,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,19,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,19,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,19,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,19,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,19,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,20,A_entry,,,missing_target_record,,,,,False
1,50,50,20,B_entry,,,missing_target_record,,,,,False
1,50,50,20,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,20,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,20,A_full_mean,,,missing_target_record,,,,,False
1,50,50,20,B_full_mean,,,missing_target_record,,,,,False
1,50,50,20,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,20,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,20,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,20,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,20,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,20,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,20,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,20,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,20,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,20,B_G1_time_average,,,missing_target_record,,,,,False
