diagnostic_label,c_kappa,N,eligible_saved_replications,Exact,Under_only,Over_only,Mixed,modal_selected_rank,modal_count,selected_rank_distribution
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.540691517212003e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.540691517212003e-07,100,12,1,0,11,0,"(2,2,3)",3,"{""(1,1,1)"": 1, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 2, ""(2,2,2)"": 1, ""(2,2,3)"": 3, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.561767741604058e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.561767741604058e-07,100,12,1,0,11,0,"(1,1,3)",2,"{""(1,1,1)"": 1, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 2, ""(2,1,3)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.582895976683273e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.582895976683273e-07,100,12,1,0,11,0,"(1,1,3)",2,"{""(1,1,1)"": 1, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 2, ""(2,1,3)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.590024104045677e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.590024104045677e-07,100,12,2,0,10,0,"(1,1,1)",2,"{""(1,1,1)"": 2, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.597158151344643e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.597158151344643e-07,100,12,2,0,10,0,"(1,1,1)",2,"{""(1,1,1)"": 2, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.611735077016846e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.611735077016846e-07,100,12,2,0,10,0,"(1,1,1)",2,"{""(1,1,1)"": 2, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.626336718619395e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.626336718619395e-07,100,12,2,0,10,0,"(1,1,1)",2,"{""(1,1,1)"": 2, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.632907038100054e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.632907038100054e-07,100,12,2,0,10,0,"(1,1,1)",2,"{""(1,1,1)"": 2, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.639482361917952e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.639482361917952e-07,100,12,2,0,10,0,"(1,1,1)",2,"{""(1,1,1)"": 2, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.651989575899807e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.651989575899807e-07,100,12,2,0,10,0,"(1,1,1)",2,"{""(1,1,1)"": 2, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,2)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
