semantic_replication_id,dgp,N,T,true_rank,replication,start_1_objective,start_2_objective,start_3_objective,best_finite_objective,worst_finite_objective,absolute_objective_spread_all_finite,relative_objective_spread_all_finite,best_start_number,valid_start_count,best_valid_objective,second_valid_objective,worst_accepted_finite_objective,best_two_valid_objective_gap,objective_agreement_tolerance,same_solution_all_starts_under_tolerance,objective_agreement_pass
dgp1_N100_T200_r00001_truth1-1-1,1,100,200,"(1,1,1)",1,1.084336147372985,1.0856963527700905,1.079600431844691,1.079600431844691,1.0856963527700905,0.006095920925399456,0.005646460251024059,3,0,,,,,1e-06,False,False
dgp1_N100_T200_r00001_truth2-1-1,1,100,200,"(2,1,1)",1,0.22900730480272286,0.22926694527961372,0.22839561456972687,0.22839561456972687,0.22926694527961372,0.0008713307098868472,0.0008713307098868472,3,0,,,,,1e-06,False,False
dgp1_N100_T200_r00002_truth1-0-2,1,100,200,"(1,0,2)",2,0.3604007436135309,0.3605335396324305,0.36175495241435085,0.3604007436135309,0.36175495241435085,0.0013542088008199338,0.0013542088008199338,1,0,,,,,1e-06,False,False
dgp1_N100_T200_r00002_truth1-1-1,1,100,200,"(1,1,1)",2,1.0694479470534761,1.0719059541827471,1.0654093826835727,1.0654093826835727,1.0719059541827471,0.006496571499174486,0.006097723189569443,3,1,1.0694479470534761,,1.0694479470534761,,1e-06,False,False
dgp1_N100_T200_r00002_truth2-1-1,1,100,200,"(2,1,1)",2,0.24749219863002708,0.24767825863402312,0.24826262905250518,0.24749219863002708,0.24826262905250518,0.0007704304224780967,0.0007704304224780967,1,0,,,,,1e-06,False,False
dgp1_N200_T100_r00000_truth1-0-2,1,200,100,"(1,0,2)",0,0.3523787116124524,0.35206788767590524,0.3522570247886246,0.35206788767590524,0.3523787116124524,0.00031082393654713325,0.00031082393654713325,2,1,0.35206788767590524,,0.35206788767590524,,1e-06,False,False
dgp1_N200_T100_r00000_truth1-1-1,1,200,100,"(1,1,1)",0,1.4794081877725778,1.4781705264696157,1.4764252318761233,1.4764252318761233,1.4794081877725778,0.0029829558964544756,0.0020203907600955676,3,0,,,,,1e-06,False,False
dgp1_N200_T100_r00000_truth2-1-1,1,200,100,"(2,1,1)",0,0.23516101740183795,0.23539624741557136,0.23559303517581584,0.23516101740183795,0.23559303517581584,0.00043201777397788854,0.00043201777397788854,1,0,,,,,1e-06,False,False
dgp1_N200_T100_r00001_truth1-0-2,1,200,100,"(1,0,2)",1,0.3440485997844326,0.3450940355712318,0.3449281900634332,0.3440485997844326,0.3450940355712318,0.0010454357867992203,0.0010454357867992203,1,0,,,,,1e-06,False,False
dgp1_N200_T100_r00001_truth1-1-1,1,200,100,"(1,1,1)",1,1.4175241670656904,1.4251071024138982,1.413371857884514,1.413371857884514,1.4251071024138982,0.011735244529384126,0.0083030127308103,3,1,1.4175241670656904,,1.4175241670656904,,1e-06,False,False
dgp1_N200_T100_r00001_truth2-1-1,1,200,100,"(2,1,1)",1,0.2460387080790585,0.24641275885243114,0.2465467047665341,0.2460387080790585,0.2465467047665341,0.000507996687475587,0.000507996687475587,1,0,,,,,1e-06,False,False
dgp1_N200_T100_r00002_truth1-0-2,1,200,100,"(1,0,2)",2,0.3581192139907577,0.3573219307573462,0.35700829522941374,0.35700829522941374,0.3581192139907577,0.0011109187613439486,0.0011109187613439486,3,0,,,,,1e-06,False,False
dgp1_N200_T100_r00002_truth1-1-1,1,200,100,"(1,1,1)",2,1.4250036481423705,1.4292486764840924,1.4223146585749469,1.4223146585749469,1.4292486764840924,0.006934017909145496,0.0048751644844136416,3,1,1.4250036481423705,,1.4250036481423705,,1e-06,False,False
dgp1_N200_T100_r00002_truth2-1-1,1,200,100,"(2,1,1)",2,0.2438272585169319,0.24347136922856927,0.2431477483906415,0.2431477483906415,0.2438272585169319,0.0006795101262904168,0.0006795101262904168,3,0,,,,,1e-06,False,False
dgp1_N200_T200_r00000_truth1-0-2,1,200,200,"(1,0,2)",0,0.3901441125084892,0.38963743705930454,0.39017820842185286,0.38963743705930454,0.39017820842185286,0.0005407713625483201,0.0005407713625483201,2,1,0.38963743705930454,,0.38963743705930454,,1e-06,False,False
dgp1_N200_T200_r00000_truth1-1-1,1,200,200,"(1,1,1)",0,1.4355708235650833,1.4347302740074523,1.4357181912926096,1.4347302740074523,1.4357181912926096,0.000987917285157236,0.0006885735270629025,2,0,,,,,1e-06,False,False
dgp1_N200_T200_r00000_truth2-1-1,1,200,200,"(2,1,1)",0,0.2732327553111881,0.2731860180650725,0.2728479017915586,0.2728479017915586,0.2732327553111881,0.0003848535196295244,0.0003848535196295244,3,0,,,,,1e-06,False,False
